ancillary_purchase_id,booking_id,item_id,item_type,item_name,quantity,unit_price_usd,total_price_usd
ANCP0000001,BKG000001,ANC04,seat,Preferred Seat,1,16.3,16.3
ANCP0000002,BKG000001,ANC01,baggage,Extra Bag 23kg,1,31.7,31.7
ANCP0000003,BKG000002,ANC03,seat,Standard Seat,1,5.58,5.58
ANCP0000004,BKG000002,ANC01,baggage,Extra Bag 23kg,1,24.42,24.42
ANCP0000005,BKG000005,ANC04,seat,Preferred Seat,1,15.0,15.0
ANCP0000006,BKG000005,ANC04,seat,Preferred Seat,1,15.0,15.0
ANCP0000007,BKG000007,ANC04,seat,Preferred Seat,1,24.92,24.92
ANCP0000008,BKG000007,ANC03,seat,Standard Seat,1,11.08,11.08
ANCP0000009,BKG000008,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000010,BKG000009,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000011,BKG000010,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000012,BKG000011,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000013,BKG000012,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000014,BKG000013,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000015,BKG000014,ANC02,baggage,Extra Bag 32kg,1,48.0,48.0
ANCP0000016,BKG000016,ANC03,seat,Standard Seat,1,6.7,6.7
ANCP0000017,BKG000016,ANC01,baggage,Extra Bag 23kg,1,29.3,29.3
ANCP0000018,BKG000017,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000019,BKG000018,ANC04,seat,Preferred Seat,1,20.77,20.77
ANCP0000020,BKG000018,ANC03,seat,Standard Seat,1,9.23,9.23
ANCP0000021,BKG000019,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000022,BKG000021,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000023,BKG000022,ANC03,seat,Standard Seat,1,5.58,5.58
ANCP0000024,BKG000022,ANC01,baggage,Extra Bag 23kg,1,24.42,24.42
ANCP0000025,BKG000023,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000026,BKG000024,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000027,BKG000025,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000028,BKG000026,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000029,BKG000027,ANC10,priority,Priority Boarding,1,12.0,12.0
ANCP0000030,BKG000028,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000031,BKG000030,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000032,BKG000030,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000033,BKG000032,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000034,BKG000032,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000035,BKG000033,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000036,BKG000034,ANC04,seat,Preferred Seat,1,12.0,12.0
ANCP0000037,BKG000035,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000038,BKG000036,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000039,BKG000037,ANC04,seat,Preferred Seat,1,15.0,15.0
ANCP0000040,BKG000037,ANC04,seat,Preferred Seat,1,15.0,15.0
ANCP0000041,BKG000038,ANC04,seat,Preferred Seat,1,20.77,20.77
ANCP0000042,BKG000038,ANC03,seat,Standard Seat,1,9.23,9.23
ANCP0000043,BKG000039,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000044,BKG000040,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000045,BKG000041,ANC01,baggage,Extra Bag 23kg,1,39.07,39.07
ANCP0000046,BKG000041,ANC03,seat,Standard Seat,1,8.93,8.93
ANCP0000047,BKG000042,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000048,BKG000043,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000049,BKG000044,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000050,BKG000044,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000051,BKG000045,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000052,BKG000046,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000053,BKG000047,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000054,BKG000048,ANC10,priority,Priority Boarding,1,28.8,28.8
ANCP0000055,BKG000048,ANC03,seat,Standard Seat,1,19.2,19.2
ANCP0000056,BKG000049,ANC03,seat,Standard Seat,1,8.93,8.93
ANCP0000057,BKG000049,ANC01,baggage,Extra Bag 23kg,1,39.07,39.07
ANCP0000058,BKG000050,ANC04,seat,Preferred Seat,1,20.77,20.77
ANCP0000059,BKG000050,ANC03,seat,Standard Seat,1,9.23,9.23
ANCP0000060,BKG000051,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000061,BKG000052,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000062,BKG000053,ANC04,seat,Preferred Seat,1,12.0,12.0
ANCP0000063,BKG000055,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000064,BKG000056,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000065,BKG000057,ANC04,seat,Preferred Seat,1,15.0,15.0
ANCP0000066,BKG000057,ANC04,seat,Preferred Seat,1,15.0,15.0
ANCP0000067,BKG000059,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000068,BKG000060,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000069,BKG000061,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000070,BKG000062,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000071,BKG000063,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000072,BKG000064,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000073,BKG000065,ANC10,priority,Priority Boarding,1,12.0,12.0
ANCP0000074,BKG000066,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000075,BKG000067,ANC04,seat,Preferred Seat,1,24.92,24.92
ANCP0000076,BKG000067,ANC03,seat,Standard Seat,1,11.08,11.08
ANCP0000077,BKG000068,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000078,BKG000070,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000079,BKG000071,ANC02,baggage,Extra Bag 32kg,1,48.0,48.0
ANCP0000080,BKG000072,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000081,BKG000073,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000082,BKG000074,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000083,BKG000075,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000084,BKG000076,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000085,BKG000077,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000086,BKG000078,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000087,BKG000079,ANC11,priority,Fast Track Security,1,16.36,16.36
ANCP0000088,BKG000079,ANC04,seat,Preferred Seat,1,19.64,19.64
ANCP0000089,BKG000080,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000090,BKG000081,ANC01,baggage,Extra Bag 23kg,1,39.07,39.07
ANCP0000091,BKG000081,ANC03,seat,Standard Seat,1,8.93,8.93
ANCP0000092,BKG000082,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000093,BKG000084,ANC06,meal,Hot Meal Upgrade,1,16.36,16.36
ANCP0000094,BKG000084,ANC04,seat,Preferred Seat,1,19.64,19.64
ANCP0000095,BKG000086,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000096,BKG000088,ANC04,seat,Preferred Seat,1,16.36,16.36
ANCP0000097,BKG000088,ANC11,priority,Fast Track Security,1,13.64,13.64
ANCP0000098,BKG000089,ANC04,seat,Preferred Seat,1,12.0,12.0
ANCP0000099,BKG000090,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000100,BKG000091,ANC08,lounge,Lounge Access ABJ,1,30.0,30.0
ANCP0000101,BKG000092,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000102,BKG000093,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000103,BKG000094,ANC05,seat,Extra Legroom Seat,1,31.7,31.7
ANCP0000104,BKG000094,ANC04,seat,Preferred Seat,1,16.3,16.3
ANCP0000105,BKG000095,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000106,BKG000096,ANC06,meal,Hot Meal Upgrade,1,12.0,12.0
ANCP0000107,BKG000097,ANC01,baggage,Extra Bag 23kg,1,31.7,31.7
ANCP0000108,BKG000097,ANC04,seat,Preferred Seat,1,16.3,16.3
ANCP0000109,BKG000098,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000110,BKG000099,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000111,BKG000100,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000112,BKG000102,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000113,BKG000104,ANC02,baggage,Extra Bag 32kg,1,48.0,48.0
ANCP0000114,BKG000105,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000115,BKG000106,ANC11,priority,Fast Track Security,1,12.0,12.0
ANCP0000116,BKG000107,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000117,BKG000108,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000118,BKG000109,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000119,BKG000112,ANC04,seat,Preferred Seat,1,24.92,24.92
ANCP0000120,BKG000112,ANC03,seat,Standard Seat,1,11.08,11.08
ANCP0000121,BKG000113,ANC06,meal,Hot Meal Upgrade,1,13.64,13.64
ANCP0000122,BKG000113,ANC04,seat,Preferred Seat,1,16.36,16.36
ANCP0000123,BKG000114,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000124,BKG000115,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000125,BKG000116,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000126,BKG000117,ANC02,baggage,Extra Bag 32kg,1,36.0,36.0
ANCP0000127,BKG000119,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000128,BKG000120,ANC10,priority,Priority Boarding,1,21.33,21.33
ANCP0000129,BKG000120,ANC06,meal,Hot Meal Upgrade,1,26.67,26.67
ANCP0000130,BKG000121,ANC10,priority,Priority Boarding,1,18.0,18.0
ANCP0000131,BKG000122,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000132,BKG000123,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000133,BKG000124,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000134,BKG000125,ANC11,priority,Fast Track Security,1,19.57,19.57
ANCP0000135,BKG000125,ANC03,seat,Standard Seat,1,10.43,10.43
ANCP0000136,BKG000126,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000137,BKG000127,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000138,BKG000128,ANC05,seat,Extra Legroom Seat,1,36.0,36.0
ANCP0000139,BKG000129,ANC06,meal,Hot Meal Upgrade,1,14.4,14.4
ANCP0000140,BKG000129,ANC01,baggage,Extra Bag 23kg,1,33.6,33.6
ANCP0000141,BKG000130,ANC04,seat,Preferred Seat,1,16.3,16.3
ANCP0000142,BKG000130,ANC05,seat,Extra Legroom Seat,1,31.7,31.7
ANCP0000143,BKG000131,ANC03,seat,Standard Seat,1,12.0,12.0
ANCP0000144,BKG000132,ANC06,meal,Hot Meal Upgrade,1,31.3,31.3
ANCP0000145,BKG000132,ANC03,seat,Standard Seat,1,16.7,16.7
ANCP0000146,BKG000134,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000147,BKG000135,ANC04,seat,Preferred Seat,1,26.18,26.18
ANCP0000148,BKG000135,ANC06,meal,Hot Meal Upgrade,1,21.82,21.82
ANCP0000149,BKG000136,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000150,BKG000138,ANC01,baggage,Extra Bag 23kg,1,30.0,30.0
ANCP0000151,BKG000139,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000152,BKG000140,ANC05,seat,Extra Legroom Seat,1,30.0,30.0
ANCP0000153,BKG000141,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000154,BKG000143,ANC04,seat,Preferred Seat,1,20.77,20.77
ANCP0000155,BKG000143,ANC03,seat,Standard Seat,1,9.23,9.23
ANCP0000156,BKG000144,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000157,BKG000145,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000158,BKG000146,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000159,BKG000147,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000160,BKG000148,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000161,BKG000149,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000162,BKG000150,ANC06,meal,Hot Meal Upgrade,1,12.0,12.0
ANCP0000163,BKG000151,ANC02,baggage,Extra Bag 32kg,1,36.0,36.0
ANCP0000164,BKG000152,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000165,BKG000153,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000166,BKG000154,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000167,BKG000155,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000168,BKG000157,ANC06,meal,Hot Meal Upgrade,1,18.0,18.0
ANCP0000169,BKG000158,ANC03,seat,Standard Seat,1,5.58,5.58
ANCP0000170,BKG000158,ANC01,baggage,Extra Bag 23kg,1,24.42,24.42
ANCP0000171,BKG000159,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000172,BKG000160,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000173,BKG000161,ANC03,seat,Standard Seat,1,5.58,5.58
ANCP0000174,BKG000161,ANC05,seat,Extra Legroom Seat,1,24.42,24.42
ANCP0000175,BKG000162,ANC06,meal,Hot Meal Upgrade,1,19.57,19.57
ANCP0000176,BKG000162,ANC03,seat,Standard Seat,1,10.43,10.43
ANCP0000177,BKG000163,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000178,BKG000165,ANC04,seat,Preferred Seat,1,12.0,12.0
ANCP0000179,BKG000166,ANC03,seat,Standard Seat,1,15.0,15.0
ANCP0000180,BKG000166,ANC03,seat,Standard Seat,1,15.0,15.0
ANCP0000181,BKG000167,ANC05,seat,Extra Legroom Seat,1,33.6,33.6
ANCP0000182,BKG000167,ANC06,meal,Hot Meal Upgrade,1,14.4,14.4
ANCP0000183,BKG000169,ANC11,priority,Fast Track Security,1,18.0,18.0
ANCP0000184,BKG000170,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000185,BKG000171,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000186,BKG000173,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000187,BKG000174,ANC08,lounge,Lounge Access ABJ,1,36.0,36.0
ANCP0000188,BKG000175,ANC01,baggage,Extra Bag 23kg,1,36.0,36.0
ANCP0000189,BKG000176,ANC03,seat,Standard Seat,1,18.0,18.0
ANCP0000190,BKG000177,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000191,BKG000178,ANC04,seat,Preferred Seat,1,18.0,18.0
ANCP0000192,BKG000179,ANC02,baggage,Extra Bag 32kg,1,48.0,48.0
ANCP0000193,BKG000180,ANC03,seat,Standard Seat,1,18.0,18.0
