flight_id,fuel_cost_usd,crew_cost_usd,airport_fees_usd,nav_fees_usd,handling_cost_usd,total_operating_cost_usd
FLT00001,1760.0,458.33,450.0,64.05,305.0,3037.38
FLT00002,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00003,2566.67,676.67,450.0,117.0,375.0,4185.34
FLT00004,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00005,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00006,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00007,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00008,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00009,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00010,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00011,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00012,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00013,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00014,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00015,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00016,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00017,1833.33,483.33,450.0,78.75,375.0,3220.41
FLT00018,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00019,2156.0,700.0,450.0,128.7,412.5,3847.2
FLT00020,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00021,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00022,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00023,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00024,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00025,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00026,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00027,3666.67,966.67,1200.0,177.75,375.0,6386.09
FLT00028,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00029,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00030,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00031,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00032,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00033,1540.0,500.0,450.0,86.62,412.5,2989.12
FLT00034,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00035,2566.67,676.67,450.0,117.0,375.0,4185.34
FLT00036,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00037,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00038,4004.0,1300.0,1200.0,227.7,412.5,7144.2
FLT00039,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00040,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00041,2926.0,950.0,1200.0,205.42,412.5,5693.92
FLT00042,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00043,3666.67,966.67,1200.0,177.75,375.0,6386.09
FLT00044,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00045,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00046,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00047,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00048,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00049,1833.33,483.33,450.0,78.75,375.0,3220.41
FLT00050,2002.0,650.0,450.0,116.32,412.5,3630.82
FLT00051,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00052,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00053,2464.0,641.67,1200.0,76.86,305.0,4687.53
FLT00054,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00055,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00056,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00057,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00058,3116.67,821.67,1200.0,146.25,375.0,5659.59
FLT00059,3080.0,1000.0,1200.0,195.52,412.5,5888.02
FLT00060,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00061,31460.0,7800.0,5000.0,1771.44,605.0,46636.44
FLT00062,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00063,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00064,3344.0,870.83,1200.0,151.89,305.0,5871.72
FLT00065,1540.0,500.0,450.0,86.62,412.5,2989.12
FLT00066,2288.0,595.83,450.0,86.01,305.0,3724.84
FLT00067,2464.0,641.67,450.0,95.16,305.0,3955.83
FLT00068,2566.67,676.67,1200.0,94.5,375.0,4912.84
FLT00069,2156.0,700.0,1200.0,103.95,412.5,4572.45
FLT00070,4576.0,1191.67,1200.0,168.36,305.0,7441.03
FLT00071,4766.67,1256.67,1200.0,207.0,375.0,7805.34
FLT00072,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00073,3483.33,918.33,1200.0,186.75,375.0,6163.41
FLT00074,2992.0,779.17,1200.0,118.95,305.0,5395.12
FLT00075,3520.0,916.67,1200.0,144.57,305.0,6086.24
