ticket_id,customer_id,related_booking_id,related_flight_id,open_date,close_date,channel,category,severity,status,resolution_hours
TKT000001,CUST0097,BKG008046,FLT00337,2025-01-20,2025-01-20,Email,Other,Low,Closed,5.3
TKT000002,CUST0020,BKG009304,FLT00390,2024-12-17,2024-12-17,Email,Baggage,Medium,Closed,7.1
TKT000003,CUST0155,BKG000533,FLT00023,2024-12-19,2024-12-19,Email,Schedule_Change,High,Closed,12.0
TKT000004,CUST0155,BKG002614,FLT00110,2024-12-19,2024-12-19,Chat,Refund_Request,High,Closed,12.0
TKT000005,CUST0107,BKG011033,FLT00463,2025-01-10,2025-01-10,Phone,Baggage,Medium,Closed,3.9
TKT000006,CUST0107,BKG004004,FLT00169,2024-12-20,2024-12-20,Email,Baggage,Medium,Closed,2.5
TKT000007,CUST0107,BKG007474,FLT00314,2025-01-12,2025-01-12,Email,Loyalty,Low,Closed,6.1
TKT000008,CUST0164,BKG006500,FLT00273,2025-01-28,2025-01-28,Phone,Loyalty,Medium,Closed,13.9
TKT000009,CUST0030,BKG009335,FLT00391,2025-01-07,2025-01-07,Social_Media,Baggage,Medium,Closed,4.9
TKT000010,CUST0080,BKG008961,FLT00375,2025-01-31,2025-01-31,Phone,Baggage,High,Closed,12.0
TKT000011,CUST0080,BKG004023,FLT00169,2024-12-24,,Email,Schedule_Change,Low,Open,
TKT000012,CUST0080,BKG000508,FLT00021,2024-11-19,2024-11-19,Social_Media,Refund_Request,High,Closed,12.0
TKT000013,CUST0117,BKG002429,FLT00102,2024-12-18,2024-12-19,Email,Baggage,Medium,Closed,25.7
TKT000014,CUST0275,BKG001970,FLT00082,2024-12-15,2024-12-15,Chat,Other,Medium,Closed,6.9
TKT000015,CUST0275,BKG008342,FLT00349,2025-01-08,2025-01-08,Email,Booking_Issue,Medium,Closed,12.5
TKT000016,CUST0188,BKG008814,FLT00368,2024-12-11,2024-12-11,Phone,Booking_Issue,Medium,Closed,2.8
TKT000017,CUST0025,BKG010469,FLT00437,2025-01-07,2025-01-07,Email,Baggage,High,Closed,15.2
TKT000018,CUST0084,BKG003525,FLT00148,2024-12-24,,Chat,Refund_Request,Medium,Open,
TKT000019,CUST0083,BKG010804,FLT00451,2024-12-24,2024-12-24,Phone,Schedule_Change,Low,Closed,6.3
TKT000020,CUST0287,BKG002006,FLT00084,2024-12-26,2024-12-26,Phone,Refund_Request,Medium,Closed,12.6
TKT000021,CUST0144,BKG007673,FLT00322,2025-01-14,2025-01-14,Email,Baggage,Medium,Closed,9.0
TKT000022,CUST0217,BKG011269,FLT00472,2025-01-21,2025-01-22,Email,Booking_Issue,High,Closed,37.8
TKT000023,CUST0201,BKG005214,FLT00220,2025-01-21,2025-01-21,Email,Schedule_Change,Low,Closed,3.0
TKT000024,CUST0174,BKG000324,FLT00013,2024-12-22,2024-12-22,Email,Baggage,Low,Closed,6.8
TKT000025,CUST0174,BKG001432,FLT00060,2024-12-20,2024-12-21,Email,Baggage,High,Closed,34.4
TKT000026,CUST0174,BKG009019,FLT00378,2024-12-22,2024-12-22,Phone,Baggage,Low,Closed,6.9
TKT000027,CUST0093,BKG011123,FLT00466,2025-02-13,2025-02-13,Email,Baggage,Low,Closed,2.8
TKT000028,CUST0230,BKG000607,FLT00026,2024-12-28,2024-12-28,Phone,Baggage,Medium,Closed,5.8
TKT000029,CUST0173,BKG007901,FLT00332,2024-12-21,2024-12-21,Email,Refund_Request,Medium,Closed,5.9
TKT000030,CUST0173,BKG007214,FLT00303,2024-12-12,2024-12-12,Chat,Booking_Issue,Medium,Closed,4.3
TKT000031,CUST0082,BKG005209,FLT00220,2025-01-11,2025-01-11,Chat,Baggage,Medium,Closed,2.6
TKT000032,CUST0102,BKG010526,FLT00440,2024-12-24,2024-12-25,Phone,Booking_Issue,High,Closed,24.2
TKT000033,CUST0103,BKG000423,FLT00017,2025-01-03,2025-01-03,Social_Media,Refund_Request,High,Closed,12.0
TKT000034,CUST0103,BKG004440,FLT00187,2024-12-01,2024-12-01,Email,Refund_Request,High,Closed,14.4
TKT000035,CUST0103,BKG004636,FLT00197,2024-12-22,2024-12-22,Email,Baggage,Medium,Closed,9.7
