loyalty_txn_id,customer_id,txn_date,txn_type,miles_amount,related_booking_id,description
LTX0000001,CUST0115,2024-12-21 00:00:00,Earn,102,BKG000005,Miles earned from flight booking (tier=Explorer)
LTX0000002,CUST0119,2024-12-21 00:00:00,Earn,171,BKG000007,Miles earned from flight booking (tier=Silver)
LTX0000003,CUST0198,2024-12-24 00:00:00,Earn,189,BKG000010,Miles earned from flight booking (tier=Silver)
LTX0000004,CUST0289,2024-11-21 00:00:00,Earn,188,BKG000011,Miles earned from flight booking (tier=Explorer)
LTX0000005,CUST0219,2024-12-23 00:00:00,Earn,90,BKG000018,Miles earned from flight booking (tier=Explorer)
LTX0000006,CUST0212,2024-12-16 00:00:00,Earn,163,BKG000020,Miles earned from flight booking (tier=Explorer)
LTX0000007,CUST0026,2024-12-27 00:00:00,Earn,74,BKG000022,Miles earned from flight booking (tier=Explorer)
LTX0000008,CUST0089,2024-12-21 00:00:00,Earn,75,BKG000024,Miles earned from flight booking (tier=Explorer)
LTX0000009,CUST0081,2024-12-10 00:00:00,Earn,238,BKG000025,Miles earned from flight booking (tier=Gold)
LTX0000010,CUST0098,2024-12-02 00:00:00,Earn,209,BKG000026,Miles earned from flight booking (tier=Gold)
LTX0000011,CUST0030,2024-11-30 00:00:00,Earn,221,BKG000029,Miles earned from flight booking (tier=Silver)
LTX0000012,CUST0254,2024-12-01 00:00:00,Earn,78,BKG000030,Miles earned from flight booking (tier=Explorer)
LTX0000013,CUST0165,2024-11-08 00:00:00,Earn,182,BKG000032,Miles earned from flight booking (tier=Silver)
LTX0000014,CUST0080,2024-11-19 00:00:00,Earn,76,BKG000034,Miles earned from flight booking (tier=Explorer)
LTX0000015,CUST0056,2024-12-14 00:00:00,Earn,140,BKG000042,Miles earned from flight booking (tier=Gold)
LTX0000016,CUST0171,2024-11-18 00:00:00,Earn,217,BKG000047,Miles earned from flight booking (tier=Gold)
LTX0000017,CUST0240,2024-11-23 00:00:00,Earn,255,BKG000051,Miles earned from flight booking (tier=Explorer)
LTX0000018,CUST0199,2024-11-05 00:00:00,Earn,152,BKG000052,Miles earned from flight booking (tier=Silver)
LTX0000019,CUST0108,2024-12-14 00:00:00,Earn,168,BKG000055,Miles earned from flight booking (tier=Gold)
LTX0000020,CUST0190,2024-12-23 00:00:00,Earn,207,BKG000056,Miles earned from flight booking (tier=Explorer)
LTX0000021,CUST0214,2024-11-19 00:00:00,Earn,116,BKG000057,Miles earned from flight booking (tier=Explorer)
LTX0000022,CUST0133,2024-11-09 00:00:00,Earn,128,BKG000058,Miles earned from flight booking (tier=Explorer)
LTX0000023,CUST0017,2024-11-07 00:00:00,Earn,202,BKG000063,Miles earned from flight booking (tier=Gold)
LTX0000024,CUST0104,2024-12-27 00:00:00,Earn,184,BKG000065,Miles earned from flight booking (tier=Silver)
LTX0000025,CUST0113,2024-12-06 00:00:00,Earn,135,BKG000069,Miles earned from flight booking (tier=Explorer)
LTX0000026,CUST0082,2024-11-13 00:00:00,Earn,192,BKG000071,Miles earned from flight booking (tier=Silver)
LTX0000027,CUST0242,2024-12-16 00:00:00,Earn,308,BKG000072,Miles earned from flight booking (tier=Gold)
LTX0000028,CUST0296,2024-12-03 00:00:00,Earn,364,BKG000077,Miles earned from flight booking (tier=Explorer)
LTX0000029,CUST0103,2024-12-18 00:00:00,Earn,420,BKG000078,Miles earned from flight booking (tier=Silver)
LTX0000030,CUST0089,2024-12-21 00:00:00,Earn,242,BKG000079,Miles earned from flight booking (tier=Explorer)
LTX0000031,CUST0154,2024-11-19 00:00:00,Earn,537,BKG000087,Miles earned from flight booking (tier=Gold)
LTX0000032,CUST0227,2024-11-19 00:00:00,Earn,268,BKG000088,Miles earned from flight booking (tier=Gold)
LTX0000033,CUST0214,2024-11-24 00:00:00,Earn,289,BKG000094,Miles earned from flight booking (tier=Explorer)
LTX0000034,CUST0056,2024-12-23 00:00:00,Earn,494,BKG000095,Miles earned from flight booking (tier=Gold)
LTX0000035,CUST0214,2024-11-14 00:00:00,Earn,200,BKG000097,Miles earned from flight booking (tier=Explorer)
LTX0000036,CUST0254,2024-11-15 00:00:00,Earn,201,BKG000100,Miles earned from flight booking (tier=Explorer)
LTX0000037,CUST0100,2024-12-25 00:00:00,Earn,386,BKG000103,Miles earned from flight booking (tier=Gold)
LTX0000038,CUST0271,2024-11-18 00:00:00,Earn,151,BKG000104,Miles earned from flight booking (tier=Explorer)
LTX0000039,CUST0288,2024-12-06 00:00:00,Earn,223,BKG000105,Miles earned from flight booking (tier=Explorer)
LTX0000040,CUST0080,2024-12-25 00:00:00,Earn,363,BKG000108,Miles earned from flight booking (tier=Explorer)
LTX0000041,CUST0115,2024-12-26 00:00:00,Earn,954,BKG000109,Miles earned from flight booking (tier=Explorer)
LTX0000042,CUST0134,2024-12-02 00:00:00,Earn,471,BKG000115,Miles earned from flight booking (tier=Silver)
LTX0000043,CUST0090,2024-11-16 00:00:00,Earn,597,BKG000116,Miles earned from flight booking (tier=Gold)
LTX0000044,CUST0030,2024-11-14 00:00:00,Earn,264,BKG000118,Miles earned from flight booking (tier=Silver)
LTX0000045,CUST0007,2024-12-27 00:00:00,Earn,538,BKG000122,Miles earned from flight booking (tier=Explorer)
LTX0000046,CUST0051,2024-12-30 00:00:00,Earn,276,BKG000123,Miles earned from flight booking (tier=Explorer)
LTX0000047,CUST0240,2024-12-12 00:00:00,Earn,283,BKG000125,Miles earned from flight booking (tier=Explorer)
LTX0000048,CUST0236,2024-11-05 00:00:00,Earn,297,BKG000132,Miles earned from flight booking (tier=Explorer)
LTX0000049,CUST0001,2024-11-12 00:00:00,Earn,329,BKG000133,Miles earned from flight booking (tier=Gold)
LTX0000050,CUST0067,2024-12-22 00:00:00,Earn,635,BKG000134,Miles earned from flight booking (tier=Explorer)
LTX0000051,CUST0278,2024-11-17 00:00:00,Earn,215,BKG000135,Miles earned from flight booking (tier=Explorer)
LTX0000052,CUST0157,2024-11-18 00:00:00,Earn,163,BKG000136,Miles earned from flight booking (tier=Silver)
LTX0000053,CUST0048,2024-12-31 00:00:00,Earn,190,BKG000137,Miles earned from flight booking (tier=Explorer)
LTX0000054,CUST0127,2024-12-06 00:00:00,Earn,202,BKG000138,Miles earned from flight booking (tier=Explorer)
LTX0000055,CUST0131,2024-12-14 00:00:00,Earn,398,BKG000145,Miles earned from flight booking (tier=Gold)
LTX0000056,CUST0111,2024-12-27 00:00:00,Earn,291,BKG000151,Miles earned from flight booking (tier=Silver)
LTX0000057,CUST0120,2024-11-16 00:00:00,Earn,160,BKG000154,Miles earned from flight booking (tier=Explorer)
LTX0000058,CUST0202,2024-11-27 00:00:00,Earn,177,BKG000155,Miles earned from flight booking (tier=Explorer)
LTX0000059,CUST0150,2024-11-22 00:00:00,Earn,423,BKG000160,Miles earned from flight booking (tier=Gold)
LTX0000060,CUST0089,2024-12-25 00:00:00,Earn,194,BKG000162,Miles earned from flight booking (tier=Explorer)
LTX0000061,CUST0212,2024-11-18 00:00:00,Earn,425,BKG000163,Miles earned from flight booking (tier=Explorer)
LTX0000062,CUST0007,2024-11-04 00:00:00,Earn,287,BKG000164,Miles earned from flight booking (tier=Explorer)
LTX0000063,CUST0127,2024-11-30 00:00:00,Earn,180,BKG000168,Miles earned from flight booking (tier=Explorer)
